gho_(code),indicator,gho_(url),year_(display),startyear,endyear,region_(code),region_(display),country_(code),country_(display),dimension_(type),dimension_(code),dimension_(name),numeric,value,low,high
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2001,2001,2001,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,59.1,59.1,47.7,69.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,41.9,41.9,34.9,50.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.2,14.2,9.9,19.6
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,37.6,37.6,30.4,45.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,49.7,49.7,40.3,59.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,23.3,23.3,17.7,27.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,43.5,43.5,36.2,52.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,17.4,17.4,12.5,23.6
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,22.9,22.9,19.6,25.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,49.7,49.7,40.3,59.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.2,14.2,8.6,22.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,20.1,20.1,14.3,26.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.7,0.7,0.4,1.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.7,24.7,21.1,27.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,47.5,47.5,38.8,56.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.1,14.1,9.1,21.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,45.4,45.4,37.4,54.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,39.3,39.3,32.8,46.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2012,2012,2012,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,23.0,23.0,20.0,25.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,22.9,22.9,19.0,26.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.1,24.1,21.0,26.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.1,14.1,9.4,20.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,37.5,37.5,30.7,44.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,41.9,41.9,34.9,50.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2004,2004,2004,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,1.7,1.7,0.8,3.1
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2001,2001,2001,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.5,24.5,20.3,27.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,37.9,37.9,29.2,47.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2004,2004,2004,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,52.0,52.0,41.9,61.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,21.7,21.7,15.4,29.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2003,2003,2003,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.9,24.9,20.8,27.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2003,2003,2003,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,54.5,54.5,43.8,64.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2002,2002,2002,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.7,24.7,20.6,28.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.5,0.5,0.2,0.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,33.5,33.5,23.9,42.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.5,14.5,10.1,19.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,40.6,40.6,33.8,48.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,3.6,3.6,1.6,6.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.1,14.1,9.6,19.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,37.6,37.6,30.8,44.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.4,0.4,0.2,0.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2002,2002,2002,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,2.6,2.6,1.2,4.5
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2003,2003,2003,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,2.1,2.1,1.0,3.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,1.2,1.2,0.5,2.1
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2004,2004,2004,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.9,24.9,21.1,27.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.5,0.5,0.2,0.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2001,2001,2001,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,3.1,3.1,1.4,5.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2002,2002,2002,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,56.8,56.8,45.6,66.6
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,37.8,37.8,31.3,45.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,15.5,15.5,11.0,21.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,23.1,23.1,18.6,26.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.8,0.8,0.4,1.5
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,23.2,23.2,18.2,27.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,37.6,37.6,30.4,45.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.2,24.2,19.9,27.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,37.6,37.6,30.8,44.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,37.4,37.4,30.7,44.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,47.5,47.5,38.8,56.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,37.4,37.4,30.7,44.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,23.9,23.9,20.7,26.5
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,61.3,61.3,49.3,71.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2001,2001,2001,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,59.1,59.1,47.7,69.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2012,2012,2012,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.9,14.9,10.4,20.5
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2012,2012,2012,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.5,0.5,0.3,0.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,24.4,24.4,21.0,27.1
